昵称,性别,时间,点赞量,评论,IP属地,二级评论条数,等级,uid,rpid
荀降,女,2023-05-21 16:04:47 北京时间,5,这就是热圈吗，孩子第一次见这种场面，我何德何能能吃到这种饭[大哭]呜呜，我爱景元一辈子,上海,2,6,10241683,166350757536
Detective康桥,男,2023-05-21 15:59:00 北京时间,3,"时光如流水滔滔不绝，哪怕是长生种，终有一日会迎来终末，而魔阴身是仙舟人斩不断的宿命，生命的尽头到来的厄运。,棋盘上，棋未变，人亦变，曾经对弈的人已不在,用你教我的剑，亲手了断这厄运,星神在上，星海间万事，仅如祂轻叹，仅如祂轻瞥,花开花落，沧海桑田，日复一日，年复一年,人追逐着星海的点点星光，不知那是希望还是绝望，但无论如何也阻挡不住人类的探求心与好奇心。,星海中，哪怕时间也无法做到公平，人亦然回去跨越时间，如是，生命也无法达成公平，自然由人亲自斩断这份宿命，所以，人选择了巡猎",湖南,0,6,234075371,166349884800
一抹灬红茶,保密,2023-05-21 15:05:19 北京时间,3,555今天刚刚4个648加首充6+1这是玩游戏一来我最欧的一次[大哭][大哭][大哭](另外我是景元元的狗[脱单doge]),广东,1,6,310304814,166340353072
字音_,女,2023-05-21 14:54:21 北京时间,3,想都不用想 看到暗猫还能不刀的吗,四川,1,6,9108187,166338190032
都说了是鬼故事,保密,2023-05-21 13:42:10 北京时间,3,暗猫的作品一直都是这样…与其说是与剧情的感觉完全重合，不如说是在自己理解的基础上，用温暖去弥补诸多遗憾。这也是他们团队一直喜欢，并被人所喜爱的原因之一吧。辛苦了[给心心],日本,0,6,18992711,166324828992
丿Feverd,保密,2023-05-21 12:54:15 北京时间,3,第一次这么早[吃瓜],广东,0,5,177043930,166316875888
何处钟箫,女,2023-05-21 14:43:13 北京时间,4,"怎么说呢，虽然PV里暗喻的是师徒的传承和循环，但是真正剧情要刀大概率还是让静流活过来再被刀一次。这时候执掌罗浮已经几百年的景元再次注视自己的师父，那多年前死于自己刀下的师父。在过往的岁月里，他不止一次梦到那个场景，他不止一次诘问自己是否真的做对了吗。,如今故人相逢，依旧是兵戈相向。景元迎着对方那清冷如月光的长眸，再次拿起了刀剑。,一如从前。",贵州,0,6,424190677,166335968080
暗夜之雨v,保密,2023-06-06 13:12:20 北京时间,1,超棒的！[崩坏3·终焉归始_摸头][崩坏3·终焉归始_摸头][崩坏3·终焉归始_摸头][崩坏3·终焉归始_摸头] 01:16,黑龙江,0,5,272891629,168748103264
霍格沃茨的烟火,男,2023-05-23 07:04:11 北京时间,1,2+1景元求好友 uid：105066811,浙江,0,6,399173583,166569836560
褂子人,男,2023-05-22 05:15:30 北京时间,1,35抽出专哈哈哈,浙江,0,4,1023512790,166411931760
奇拉比吃哒分,男,2023-05-22 00:23:22 北京时间,1,也是6+1厨子，做的真牛逼[给心心],陕西,0,6,249031390,166377732416
白酱Asuka,保密,2023-05-21 14:17:39 北京时间,1,小君君锤你胸口,四川,0,6,34857498,166330874592
哪块小熊饼干呀,女,2024-09-17 05:08:12 北京时间,2,元元要幸福[保卫萝卜_哭哭],广东,0,6,35855040,242434879600
灵魂子音,保密,2023-10-07 12:27:31 北京时间,2,江畔何人初见月 江月何年初照人,北京,0,5,143932334,189155903328
江南小禽兽,保密,2023-08-05 13:14:25 北京时间,2,一个飞光，一个流光，硬生生把我的景元元从0+1变成了6+5....呜呜呜呜呜，罪大恶极！！！,上海,0,6,18069143,179180290896
䒤勿,男,2023-07-24 13:21:56 北京时间,2,@qqqqqq949 这个真的很牛牛牛牛牛做到跟pv一样😭,湖北,0,5,457060785,176832772096
鲁西欧,保密,2023-06-10 00:24:23 北京时间,2,为啥没有一个外网主播的反应视频呀，这么棒的手书,广西,2,6,21851003,169283997232
kimiho挽逸,男,2023-05-24 08:56:18 北京时间,2,@阴天学习犯难者,湖北,1,6,382414513,166731845088
太白Ishtar,保密,2023-05-22 07:25:33 北京时间,2,泪目了，扎人们[大哭][大哭][大哭],福建,0,6,34036602,166426440032
久烛丶,保密,2023-05-22 01:16:50 北京时间,2,古时候，人们在旅途中，总是以明月的方向为引路，以明月思念故乡。,广东,0,6,272884175,166382266032
欧皇懒洋洋k,保密,2023-05-21 22:08:43 北京时间,2,景元跟镜流师徒太虐了，景元将军太帅了[吃瓜],山东,0,3,3493091614919583,166371199104
趙子锦,男,2023-05-21 17:17:38 北京时间,2,城里人都把动漫叫手书的吗,广东,0,5,396532683,166359662624
一我是沙雕-,男,2023-05-21 16:48:20 北京时间,2,BGM是什么啊，好好听，暗猫每次的音乐都好合我的胃口[保卫萝卜_笔芯],安徽,4,5,482329706,166356684656
---听书人---,保密,2023-05-21 16:48:05 北京时间,2,@x_xiiii @余光下的风景 景元[大哭],天津,0,5,510135454,166356554304
利玆,保密,2023-05-21 14:11:29 北京时间,2,请大家尽量发癫在评论里发，别在弹幕里发，挺影响观感的[捂脸],山东,0,6,499931680,166329796064
菜的理智,男,2023-05-21 13:09:02 北京时间,2,"流光，,飞光。",江苏,0,5,1248659208,166319401728
麻瓜yea,保密,2023-05-21 13:06:22 北京时间,2,镜流和景元都要 马上就让你们在列车上团聚,河南,0,5,1637148369,166319042544
星眸瞳影,女,2023-05-21 12:58:46 北京时间,2,景元与彦卿下棋时，是否也会常常忆起自己过去与镜流相处的时光呢[保卫萝卜_哭哭],江苏,0,5,86210651,166317741744
墨挽香_已黑化版,女,2023-05-21 12:57:26 北京时间,2,好想知道景元和镜流的过去啊,江苏,0,6,319224071,166317600304
Su丶憨柒,保密,2023-05-21 12:57:11 北京时间,2,师父，就让徒儿以这一式。报答您的授艺之恩吧。[墨镜],河北,1,5,1948205154,166317358304
宇宙超级无敌真寻大王,保密,2023-05-21 12:56:52 北京时间,2,入魔，必诛？！！,山东,0,5,1581482718,166317340304
山川如识我-,保密,2023-05-21 12:54:32 北京时间,2,哇，大前排！！！[喜欢],上海,0,5,522488855,166317052720
全都单推,男,2023-05-21 12:53:39 北京时间,2,[doge],陕西,0,5,349512962,166316977568
灵逸-_-,保密,2023-06-02 11:50:04 北京时间,3,镜流没死，后续版本会出，立绘外网已爆(*°▽°*)八(*°▽°*)♪,广东,0,5,484532460,168121801440
哒叽嗒叽,男,2023-05-22 04:14:23 北京时间,3,我现在都不是怕景元入魔，我是怕严斳因为执念太深入魔，让景元不得不先手刃师傅，再手刃徒弟，最后自己入魔，无人能敌，伤害了自己守护一生的罗浮。,北京,0,6,26296372,166402352928
knndxull,女,2023-06-21 10:31:32 北京时间,2,呜呜呜呜[大哭],湖南,0,6,19165911,171042057680
EVIL__DEMON,保密,2023-05-21 14:48:31 北京时间,3,说实话镜流不会这么亲近景元的，是名副其实的严师,海南,0,5,354969346,166337056368
翁法罗斯出差版,男,2024-10-04 15:08:09 北京时间,1,出乎意料的，全曲没有什么太大的波动（对我来说是这样），唯有不变的乐器和鸣，却道出盛世安平之下无人知晓的落寞与凄凉，也许有无奈吧，无奈师徒反目又无法逃避，无奈身居高位却无法念及旧情，无奈“神策将军”的名号太重，无法将那点感伤袒露。落子的那一瞬，你在想些什么呢？故友的离去吗？世事的无常吗？还是暗自责怪那时手持神兵却只能踏上阵前直面往日恩师与故友的自己？你听弟子恭敬道声“将军”，是否又带你回到那个昙花一现的午后？旧事重提，却不见你轻蹙眉，只淡然一笑，执子定局（胡言乱语）,重庆,0,5,486064523,243824403920
飞喵的嗷呜,女,2024-09-06 14:12:51 北京时间,1,哭了。老婆好美。猫大伟大，无需多言,江苏,0,6,27216212,241555029792
傾㵙听海,保密,2024-08-07 02:19:27 北京时间,1,2.4剧情回来再看，师徒太好磕了,贵州,0,5,341903162,236202420560
汰夕,保密,2024-07-19 15:12:56 北京时间,1,@崩坏星穹铁道,湖北,1,4,1499570342,232447286592
斑鸠Kieran,男,2024-07-03 15:24:42 北京时间,1,常看常新,河北,0,5,687904040,229507988112
knndxull,女,2024-05-28 15:00:57 北京时间,1,特别特别好的景元元,湖南,0,6,19165911,223643736656
山色抹微云,保密,2024-01-14 09:01:14 北京时间,1,暗猫和景元，双厨狂喜[给心心]守护罗浮最好的景猫猫,广东,0,5,2124375839,203138375552
鲁西欧,保密,2023-12-27 05:02:40 北京时间,1,为啥没有外网都评论啊，这么好的手书，想看外网反馈,广西,0,6,21851003,200436340496
暮雪初晴安,保密,2023-09-29 12:25:02 北京时间,1,今日中秋，当赏月,陕西,0,5,259148678,187999303280
2点5不赖恩特,男,2023-09-16 12:36:31 北京时间,1,彦子成为剑首缺的是时间，是…杀死自己的师傅蜕变的机会…自从他们成为师徒的一刻，一场悲剧就注定发生，彦子能独挡人世荒唐时才会成为剑首,河南,0,4,1197258840,186197717616
月夜里的梦,女,2023-08-30 16:25:42 北京时间,1,@再炫一锅,河南,2,5,526809066,183824886736
123跟我一起来,保密,2023-08-25 13:38:44 北京时间,1,好的，我已经想象到景元入魔上斩恩师下劈爱徒，最后被神君剁了[辣眼睛],湖北,0,4,1399858642,182945056640
无量塔_姬子已经死了,男,2023-08-22 02:23:04 北京时间,1,越看越觉得刀！现在的米哈游游戏的二创都这样的水平吗？翻版的最后一课了，隔壁是老师唤醒学生，这里是学生送走老师！米哈游的刀法，不仅可以正练，反过来也可以练[doge],湖北,0,6,24448664,182280304048
O飞-机-怀O,保密,2023-08-13 15:55:22 北京时间,1,手书是大佬的，bgm还是关大洲老师的。这边科普一下，国家宝藏节目BGM全是关大洲老师制作的。他是真正意义上做出了传统中国元素的古风背景音乐。有很多封神作品，这边建议去了解一下[星星眼],浙江,0,4,1555540039,180749867104
One-_year,保密,2023-08-05 05:42:16 北京时间,1,[保卫萝卜_哇]居然才看到,河南,0,5,451552839,179099539920
罗二狗只在白天做梦,保密,2023-08-03 17:27:56 北京时间,1,感觉画的不是软科幻仙舟（即使是除却行军打仗部分），属于是一般意义的古风啊，理解的时候会带来不小的违和感。暗猫老师这次的作品让我感觉很奇怪,甘肃,0,6,12882410,178833960592
苏紇,保密,2023-07-31 14:59:24 北京时间,1,什么时候出阿刃的期待[呲牙],江西,0,5,522135090,178215063744
忧郁の农村入QAQ,保密,2023-07-28 15:53:47 北京时间,1,@风却难懂,重庆,0,4,1366574973,177638734368
亓晓伊,女,2023-07-06 04:35:56 北京时间,1,@油饼z,广东,2,5,1405019997,173475166608
二次元型桃园,女,2023-06-23 15:23:54 北京时间,1,求BGM[大哭][大哭][大哭],内蒙古,2,6,11999875,171420995920
夏木pvp,男,2023-06-23 14:06:18 北京时间,1,暗猫老师，永远滴神！[崩坏3·光辉矢愿_大佬喝可乐],河南,0,6,433497049,171407136704
给琴里糖吃,保密,2023-06-14 03:33:22 北京时间,1,视频作这么刀，我恨你，诅咒你越来越好！,山东,0,5,525003749,169937215392
予丹青,女,2023-06-07 02:48:37 北京时间,1,@Caxxxxxxxx 好牛啊蛙趣,山东,0,5,294637581,168816365920
水中的鱼xiao,保密,2023-06-06 14:35:04 北京时间,1,肯定有应付这种强者变成魔阴身的方法，不然景元之前的那些将军入魔都是怎么处理的（试图逃避所谓的循环刀，毕竟景元也快了,四川,1,6,353876377,168762105216
唐朝慧,保密,2023-06-03 12:16:58 北京时间,1,哇，最后这个蓝玫瑰，啊啊啊啊啊，刀死我算了,湖北,0,5,523669967,168279277056
皮蛋solo粥__上班版,保密,2023-05-30 10:56:43 北京时间,1,这种动态效果是spine制作的吗，技术了好强,福建,0,6,477415367,167667486576
云骑元帅-华,保密,2023-05-28 13:40:22 北京时间,1,谨守此誓，吾等云骑，如云翳障空，卫蔽仙舟！,江苏,0,6,74115834,167396698576
澄绫,女,2023-05-28 02:23:21 北京时间,1,景元镜流这对师徒我真的意难平[大哭][大哭],四川,0,4,1299770553,167296352272
uni_ほくよう,男,2023-05-27 04:38:23 北京时间,1,@别吃我小泡芙 @尘落叶归尘 [大哭][大哭][大哭][大哭][大哭],广东,2,5,576438959,167152081264
灬夜游神灬,男,2023-05-26 16:50:09 北京时间,1,各位，镜流要在1.1登场了，有剧情！哈哈哈哈哈哈,河南,0,6,254267903,167099866944
鲁西欧,保密,2023-05-26 00:38:51 北京时间,1,为啥还没有国外主播的反应视频呢，这么好的作品，急,广西,0,6,21851003,166969575824
墨合羽,保密,2023-05-25 14:01:20 北京时间,1,尘光纷散，流光易逝，时间之磨损，肉体之魔坠，终究会改变一切。但是，精神的传承，终会踏破荆棘，冲破轮回，带来不一样的光彩,安徽,0,6,949601,166923763296
掬鹊,女,2023-05-23 14:07:39 北京时间,1,好好听啊这首《江天晓》。手书好好看啊，画面起伏流转与曲调相得益彰，催人泪下。看着那些回忆，美好的，悲痛的都是那么的生动。,北京,0,5,377004095,166628555088
落兮宸,保密,2023-05-23 06:53:39 北京时间,1,《飞光》 《流光》 《输光》[吃瓜],广西,0,6,293997491,166568772432
虫律,男,2023-05-23 00:37:47 北京时间,1,如果有一天，我也堕入魔阴身，你也不可以手下留情,浙江,0,4,3461566995368934,166526614640
喜报今天没死,保密,2023-05-22 14:46:28 北京时间,1,@鹤今落三分 呜呜呜呜呜呜呜我的老婆我好心疼你,北京,0,5,1526660156,166489325680
茧缕ddd,男,2023-05-22 14:26:44 北京时间,1,BGM是啥[打call][打call][打call],江西,0,5,437951007,166486116528
螺鱼尾,女,2023-05-22 12:43:14 北京时间,1,暗猫又是你！！！我一辈子都记得你的尘光！！！！！！！我的帝君和我的大狮子啊啊啊,广东,0,6,7989343,166469593696
橘子味的尾巴肉,保密,2023-05-22 12:26:41 北京时间,1,@君墨漓呀,重庆,1,6,281720257,166467211952
好运莲莲_yeah,女,2023-05-22 12:20:10 北京时间,1,第一次看up，这居然是手书😂太强了,北京,0,6,531903,166466192736
为了岩王帝君OvO,保密,2023-05-22 12:15:46 北京时间,1,将军，我夜夜思念你啊[大哭][大哭],山西,0,4,485975839,166465542656
思思Aki,保密,2023-05-22 08:56:50 北京时间,1,景元和彦卿都有了，就差师傅镜流了[喜欢],广东,0,6,67133,166436447536
圣地瓦尔哈拉,男,2023-05-22 06:43:30 北京时间,1,我看了所有人对镜流的对话！景元说了师傅总和他保持距离感。,江苏,0,6,67963677,166422076128
非洲丨老酋长,保密,2023-05-22 04:19:00 北京时间,1,"景元啊  我大号克拉拉一命  周六日爆肝小号  又是一个克拉拉  ,你就这么讨厌我吗",河北,0,5,83402362,166403065296
岁月姬,保密,2023-05-22 01:19:15 北京时间,1,信仰帝弓司命，拥抱美好未来[脱单doge],湖北,0,6,8185593,166382421440
夏天就应该打超绽放,保密,2023-05-21 20:39:45 北京时间,1,气氛烘托的很好，但总感觉把景元画的有点娘……[tv_难过],河北,0,5,1803488137,166369463552
傲娇の姜宝,男,2023-05-21 19:59:59 北京时间,1,终有一日，下一任师徒的人魔之战，景元会被手刃后，化为光尘,江苏,0,6,12370446,166368441280
潮汐织梦,保密,2023-05-21 18:32:32 北京时间,1,一日为师，终身为父。春秋转，日月度，流光不再复。,浙江,0,6,412656096,166365217408
耶梦加得YMJD,保密,2023-05-21 18:17:31 北京时间,1,场景这个就不要在意啦，偏古风就挺好了，毕竟原本的仙舟是那种科技感满满的未来加古风，复刻难度还挺大[脱单doge]不过有个小小的建议，最后那个画面水里的倒影既然是模糊的，其实可以干脆隐约换成镜流和景元[脱单doge],陕西,0,5,430838989,166364278592
樱岛学姐和凛,男,2023-05-21 17:57:42 北京时间,1,虽然做的挺好的[打call]，但感觉场景还是不够仙舟[tv_思考]场景贴切就更好了[脱单doge],湖北,0,5,598399480,166363044336
沐芷Shiro,男,2023-05-21 17:26:18 北京时间,1,暗喵出品，必为精品[不问天_好耶],辽宁,0,6,494654134,166360513424
西弥忒,保密,2023-05-21 16:06:24 北京时间,1,我什么时候看见离开景元元这句话才不会笑,山东,0,6,322217683,166350994656
即墨时缺,女,2023-05-21 16:03:39 北京时间,1,@今晚也要早点睡觉呐,广东,0,6,195078339,166350612432
盲目吃鱼的愚者,男,2023-05-21 15:56:48 北京时间,1,我们之间只能有一个白毛[doge],山东,0,6,334075912,166349600560
樱桃烤鱼玩鲷五,保密,2023-05-21 15:45:46 北京时间,1,好高技术力，而且正好5月21日，这真是，泰裤啦[脱单doge],广西,0,6,387250200,166347773200
江湖年少丶,男,2023-05-21 15:38:51 北京时间,1,「吾等云骑 如云翳障空 卫蔽仙舟」[奋斗][奋斗][奋斗],广东,0,6,35433247,166346570512
彼岸馀花,男,2023-05-21 15:31:07 北京时间,1,第三百个默认收藏是这个，赚麻了,山东,0,5,614302238,166345149440
丿执念の鱼,保密,2023-05-21 15:27:05 北京时间,1,一直记得璃月长空和尘光这两个视频,福建,0,6,338858233,166344372928
挨骂别拉黑招笑,男,2023-05-21 15:19:12 北京时间,1,"论我每次想攒星琼都被什么破防了,1.玩的时候体验角色的剧情,2.官方角色pv,3.官方角色演示,4.角色慢镜头,5.暗猫的手书,[大哭]",广西,0,6,440398281,166343048736
木啼,男,2023-05-21 15:07:56 北京时间,1,太爱暗猫大佬的手书啦[小电视_我好兴奋][小电视_我好兴奋],广东,0,6,182884602,166340886880
似尘忘沙,保密,2023-05-21 14:56:47 北京时间,1,景元已出[保卫萝卜_哇],江苏,0,5,2126494306,166338671072
凝诗雨丶,女,2023-05-21 14:46:17 北京时间,1,大保底刚捞出来景元就发现了手书，这就是缘分啊[脱单doge],河北,0,6,735861,166336591760
我叫王小美丶,保密,2023-05-21 14:45:44 北京时间,1,@逸尘凌虚w @轩辕SUMIAKI,江苏,1,6,542843593,166336509104
白毛の大魔法使,保密,2023-05-21 14:35:59 北京时间,1,帮帮我，神君先生[嘟嘟],广西,0,5,512914484,166334462336
木子忙,男,2023-05-21 14:31:28 北京时间,1,本来都走了但我还是忍不住回来说一句，封面我一个男的都觉得好色[妙啊],广西,0,6,20239644,166333688176
斯达蒂哈德爱瑞day,保密,2023-05-21 14:23:52 北京时间,1,吾等云骑，如云翳障空，卫蔽仙舟！,广东,0,6,88431276,166332148960
滚灯,保密,2023-05-21 14:16:39 北京时间,1,白毛马尾红秋裤，景元我老公你记住[脱单doge],湖北,0,6,57882516,166330881728
SUL羽,女,2023-05-21 14:17:44 北京时间,1,浮生一薤露，只可惜故人......,重庆,0,6,259334559,166330879456
夢入夢,女,2023-05-21 13:45:16 北京时间,1,画的真好[墨镜],福建,0,6,426203413,166325368336
金翅天鹏,男,2023-05-21 13:40:38 北京时间,1,太绝了，要是能做成动画那就直接封神了[doge],广东,0,6,376246346,166324472592
单纯爱手柄,男,2023-05-21 13:37:52 北京时间,1,好耶，又有新刀子可以吃力，姐姐来罢（穿山甲音）[抓狂]!,四川,0,5,423753612,166324044832
沐沐瑄,女,2023-05-21 13:28:28 北京时间,1,今天抽到景元了，刷到景元二创视频时一点都不酸了[脱单doge],江苏,0,6,9207371,166322501920
夏语le,男,2023-05-21 13:16:19 北京时间,1,喵大永远是最好的[提摩西小队第二弹_赞][提摩西小队第二弹_币拿走][提摩西小队第二弹_收藏了],未知,0,6,8280607,166320523776
相貌平平的广东分乐,保密,2023-05-21 13:12:32 北京时间,1,要是没有这诅咒，应该又是一对神雕侠侣吧,广东,0,6,258899501,166319930208
DOMOS君,保密,2023-05-21 13:11:38 北京时间,1,能者先赏,山东,0,6,107748473,166319798752
清风折竹柳,保密,2023-05-21 13:09:18 北京时间,1,果然我的xp是相似的：白毛，红秋裤[原神_嗯],陕西,0,5,435920551,166319441824
緋-色-月-下,女,2023-05-21 13:09:19 北京时间,1,大晚上刀死我了😫,福建,0,6,348024394,166319416160
SCP-1026,男,2023-05-21 13:08:14 北京时间,1,感觉比官方的动画好[笑哭],宁夏,0,6,329401689,166319226736
炫音-流光,男,2023-05-21 13:06:32 北京时间,1,镜流好好看（关注点错误[笑哭],上海,0,5,400286223,166319051104
SCP-1026,男,2023-05-21 13:05:10 北京时间,1,"帮帮我，神君先生,离开景元元！",宁夏,0,6,329401689,166318882336
对轴啊三回,保密,2023-05-21 13:04:22 北京时间,1,其实我挺好奇，神君到底哪里来的[脱单doge],福建,3,6,638236222,166318617232
交天之见,保密,2023-05-21 13:04:04 北京时间,1,镜流注定是要上车的，肯定没刀！哈哈哈哈哈……一定是happy ending……哈哈哈哈,四川,1,6,2944463,166318530752
陌寒不会玩游戏,保密,2023-05-21 13:03:33 北京时间,1,暗猫大佬的手书一直可以的[打call][脱单doge],河北,0,5,1070749347,166318477328
变成猫守护枫原万叶,保密,2023-05-21 13:02:02 北京时间,1,随着年龄变大而逐渐消失了一只眼[委屈],陕西,0,5,600249160,166318332672
444445,保密,2023-05-21 13:01:09 北京时间,1,成熟的玩家，就该学会自己做刀子[doge],上海,0,6,2654796,166318190496
風迴路轉,男,2023-05-21 13:01:23 北京时间,1,"景元：帮帮我，神君先生！[大哭],神君：离开景元元！",浙江,0,5,1826191917,166318137984
Coe丶汽水味ysl,保密,2023-05-21 13:00:51 北京时间,1,敲敲，羁绊其实是贬义词哦，简介这种语境下应该更适合用牵绊[原神_干杯]（子音:你好）,上海,0,6,393714345,166318108032
泪泪泪痕,保密,2023-05-21 12:59:47 北京时间,1,帮帮我！神霄雷府总司驱雷掣电追魔扫秽天君～,山东,0,6,8153376,166317956848
あさひ九日,保密,2023-05-21 13:00:00 北京时间,1,纯国风，和仙舟科技国风还是挺不一样的。没有说哪个好，只是单纯说一下和游戏有区别[妙啊],上海,0,5,344263778,166317901504
洛天依___,女,2023-05-21 12:58:43 北京时间,1,与你有缘[洛天依_可以][洛天依_可以],福建,0,6,283655628,166317762064
彩加丶Saika,男,2023-05-21 12:58:51 北京时间,1,"是景元元！太好了,不知道有生之年能不能看到暗猫出丹恒[打call]",广东,0,6,195501788,166317678496
丶丶沐秋_,男,2023-05-21 12:58:04 北京时间,1,景元，这就是，最后一课了。,山东,0,6,40419572,166317635680
灼眼刻刻帝,保密,2023-05-21 12:57:49 北京时间,1,走吧，景元，镜流已逝。,江苏,0,6,398320593,166317621648
夕阳有晚意,男,2023-05-21 12:57:28 北京时间,1,暗猫神，终于等到你[星星眼],重庆,0,6,323702102,166317510720
问单,保密,2023-05-21 12:57:16 北京时间,1,煌煌吾灵，遵吾敕令！[脱单doge],重庆,0,5,174849081,166317499744
繁世长歌,男,2023-05-21 12:57:02 北京时间,1,彦卿:他不是这样的[崩坏3·光辉矢愿_瞄准],福建,0,6,350702964,166317487216
彦卿的修狗,保密,2023-05-21 12:56:49 北京时间,1,镜流tag打错了w,辽宁,0,5,479165946,166317474624
黎明拾忆,保密,2023-05-21 12:56:47 北京时间,1,竟然被我逮到了[脱单doge][脱单doge],湖北,0,5,402525737,166317473328
侯梦棂曦,女,2023-05-21 12:56:44 北京时间,1,芜湖[tv_微笑][tv_微笑]头一回这么早[tv_调皮][tv_调皮],黑龙江,0,6,277405430,166317470384
长期更新,女,2023-05-21 12:56:24 北京时间,1,[脱单doge],广东,0,6,275694645,166317452064
Aurora青柠,保密,2023-05-21 12:56:47 北京时间,1,夺少？[哦呼],江苏,0,5,515442256,166317403552
嘟嘟乐O,保密,2023-05-21 12:56:37 北京时间,1,哇好快[崩坏3·光辉矢愿_彩虹水枪],山东,0,4,3461573089691863,166317393984
舞动萌迹,保密,2023-05-21 12:56:26 北京时间,1,大招真霸气,湖北,0,6,31417219,166317384208
岂雨,保密,2023-05-21 12:56:24 北京时间,1,音乐像是，景元回忆起来，笑着娓娓道来,河南,0,5,2063921427,166317381984
天边的小酒杯,保密,2023-05-21 12:57:05 北京时间,1,这个“光”系列是不是要一直延续下去[脱单doge],湖南,0,6,54694338,166317351776
星茂永恒,男,2023-05-21 12:56:55 北京时间,1,可惜啊，可惜。景元没跟我在一起[嘟嘟],辽宁,0,6,166666108,166317342576
D丶Grayson,女,2023-05-21 12:56:28 北京时间,1,没过万的喵！先舔一口景元[脱单doge][脱单doge],陕西,0,6,249082030,166317317920
星空的火萤,保密,2023-05-21 12:56:08 北京时间,1,[热词系列_好耶],湖南,0,5,299866537,166317300576
-九霄,保密,2023-05-21 12:55:52 北京时间,1,啊！,云南,0,6,39584589,166317286352
刷魔女的雪,男,2023-05-21 12:55:48 北京时间,1,景元元来咯,湖北,0,6,266359228,166317282976
夜羽Noir,保密,2023-05-21 12:55:48 北京时间,1,"我承认我玩过星穹铁道,但只玩了5分钟，游戏太喧嚣了，,没有书，并不适合我。,我喜欢学习，学习使我快乐，优秀是一种习惯。,我徜徉在知识的海洋里，吮吸着知识的雨露。,妈妈叫我吃饭，我充耳不闻，,爸爸喊我喝水，我无动于衷，,奶奶让我睡觉，我百般推辞。,世界上只有一种稳赚不赔的投资，那就是学习。,我只想告诉你们，,烟可以抽，酒可以喝，架可以打，容可以整，逼可以装；,但你要是不爱学习，,对不起我们做不了朋友！我爱读书。,我爱学习，学习使我快乐。,假期已经开始这么久了，,我想买一套模拟题做一做，,只要648，,请好心人资助，,绝对不是什么景元,没有的话我等一会再来问[tv_doge]",广西,0,5,355353203,166317258528
阿运sama,男,2023-05-21 12:54:59 北京时间,1,[微笑],广东,0,4,1902244460,166317213312
艾尔海森的老公,保密,2023-05-21 12:54:46 北京时间,1,白色大猫猫 suki,辽宁,0,6,289903876,166317201776
我们曾誓以为神明,男,2023-05-21 12:55:18 北京时间,1,能者先赏！！,江西,0,6,44691804,166317162544
明末小魅魔--满穗,男,2023-05-21 12:54:51 北京时间,1,太好看了[打call][打call][打call],北京,0,5,1623356012,166317137520
