昵称,性别,时间,点赞量,评论,IP属地,二级评论条数,等级,uid,rpid
DMC浩,保密,2023-05-21 12:54:46 北京时间,1,啊？,山东,0,6,351374111,166317133328
井槐_,女,2023-05-21 12:55:32 北京时间,1,[doge],江西,0,5,1546037655,166317108496
阮声落华裳梅出似点妆,男,2023-05-21 12:55:21 北京时间,1,好好好,浙江,0,6,171364968,166317098688
散兵大人de狗,女,2023-05-21 12:55:17 北京时间,1,好家伙，暗喵大大又带头卷官方！送景元元出道！[打call][打call][打call],山东,0,6,7696854,166317095120
林蕾8848,男,2023-05-21 12:55:09 北京时间,1,我是景元将军的狗,江西,0,6,346091644,166317087328
gods_band_cry,女,2023-05-21 12:55:06 北京时间,1,希儿的还能有吗,江苏,0,6,272218669,166317084528
-水个-,女,2023-05-21 12:54:52 北京时间,1,镜流，我的镜流ww,北京,0,5,1814790537,166317071168
龙Silver,男,2023-05-21 12:54:26 北京时间,1,来个卡芙卡的[doge],安徽,0,6,171713854,166317047248
弥尔顿今天上岛了吗,保密,2023-05-21 12:54:25 北京时间,1,[墨镜],河南,0,6,393699195,166317045424
十代哟,保密,2023-05-21 12:54:22 北京时间,1,论将军的待遇[doge],广东,0,6,954197,166317042512
银月为痕,保密,2023-05-21 12:54:27 北京时间,1,第一次这么前排看到大佬QwQ，先三连再观看，已经成为看暗猫大佬视频的习惯了[崩坏3·光辉矢愿_吃西瓜冰][崩坏3·光辉矢愿_大佬喝可乐],山东,0,6,11966736,166317022992
糖糖糖糖糖稀,女,2023-05-21 12:54:23 北京时间,1,很喜欢星穹玩家的一句话:啊？[doge],浙江,0,5,1004540129,166317019312
账号已注销,保密,2023-05-21 12:54:22 北京时间,1,终于记起账号密码了不容易[doge],广东,0,0,240258156,166317018160
流光夜舞,女,2023-05-21 12:54:10 北京时间,1,[雪未来_堆雪人],陕西,0,6,327002804,166317007056
两袖清风_怎敢误佳人,男,2023-05-21 12:53:59 北京时间,1,撅一撅暗猫[打call][打call],重庆,0,6,372424031,166316997024
夢樓紅,保密,2023-05-21 12:53:54 北京时间,1,太强力！,广西,0,5,34844680,166316992864
-----汐,男,2023-05-21 12:53:52 北京时间,1,景元元[星星眼],安徽,0,6,32468960,166316990736
悠人ジュン,保密,2023-05-21 12:53:43 北京时间,1,第一我来了,安徽,0,5,1560342269,166316982176
空瓶e,女,2023-05-21 12:53:35 北京时间,1,！！,福建,0,5,438802191,166316973744
猛烈纯洁的哈基米,保密,2023-05-21 12:54:25 北京时间,1,好耶，景元元，帮帮我[星星眼],甘肃,0,5,1041946715,166316953072
阿瓦娜啃大瓜,保密,2023-05-21 12:54:03 北京时间,1,[星星眼][星星眼][星星眼][星星眼][星星眼][星星眼][星星眼][星星眼][星星眼],广东,0,6,24142628,166316932304
月影心殇,保密,2023-05-21 12:53:56 北京时间,1,NB,广东,0,5,503382801,166316925440
一罪于百善,男,2023-05-21 12:53:52 北京时间,1,_来的早，发什么都会火[doge],河南,0,5,494213974,166316922512
colorful-777,保密,2023-05-21 12:53:32 北京时间,1,沙发,北京,0,6,543430098,166316903504
Ogiso-Kazusa,女,2023-05-21 12:54:17 北京时间,1,[崩坏3·光辉矢愿_大佬喝可乐],江苏,0,6,329806983,166316877408
媛苑缘_,保密,2023-05-21 12:54:14 北京时间,1,啊？[喜欢],江苏,0,6,20582636,166316874800
常被塞狗粮的白黑猫,男,2023-05-21 12:54:07 北京时间,1,青雀:啊，将军，将 军！,安徽,0,6,274690573,166316868368
悠人ジュン,保密,2023-05-21 12:54:07 北京时间,1,手书还得看暗猫大佬,安徽,0,5,1560342269,166316868288
是小手了啦,保密,2023-05-21 12:54:07 北京时间,1,景元！！！将军！！！啊啊啊啊！我的将军！！！,江苏,0,5,26027973,166316867520
奚余甘,女,2023-05-21 12:54:01 北京时间,1,让我想想骚话,广东,0,5,660738980,166316862224
奚余甘,女,2023-05-21 12:53:53 北京时间,1,人生第一次这么快！,广东,0,5,660738980,166316854816
流光夜舞,女,2023-05-21 12:53:52 北京时间,1,啊,陕西,0,6,327002804,166316853600
爱吃月饼的猫,保密,2023-05-21 12:53:37 北京时间,1,来力！！[星星眼],广东,0,6,3021777,166316839264
远视专业户,保密,2025-02-04 09:51:12 北京时间,2,各位，bgm是关大洲老师的《江天晓》，主奏乐器是箫，不要在弹幕和评论区刷笛子了，谢谢[捂脸],吉林,0,5,510312579,253728622929
做梦都想跑路_,保密,2023-05-21 17:12:38 北京时间,2,"景元手书×,师徒组手书√,tnnd，mhy快点把1.1端上来，爷要加入云上五骁impart",湖北,0,6,241193142,166359198416
惊鸿映雪,女,2023-05-21 23:27:52 北京时间,1,之后剧情大概率是彦卿手刃景元，一代比一代强，之后的彦卿定剑术会登峰造极。,湖北,1,6,266570785,166374295568
超级帅的怪盗幻影sama,男,2023-05-21 13:13:19 北京时间,1,我去，暗猫,湖南,0,6,39154523,166319971008
怀炎不进池不改名,保密,2025-03-01 14:02:52 北京时间,0,这个视频很有故事感,安徽,0,4,3546702287997488,255957920465
Jeemzz的香香,女,2024-12-14 12:30:18 北京时间,0,将军真的很有魅力！！,安徽,0,5,159650484,249246758401
放弃挣扎的小号,保密,2024-10-23 09:40:40 北京时间,0,厉害[点赞][点赞][点赞],新疆,0,4,360302315,245288943360
月下吃蛋糕,保密,2024-10-18 15:52:37 北京时间,0,幸好景元曾经有无忧无虑的时光，也幸好景元未来有温暖的人陪伴(｡･ω･｡)ﾉ♡,河北,0,5,1903815625,244918302384
1zero17,保密,2024-08-26 08:26:40 北京时间,0,画的太美了[大哭],河南,0,5,1205577426,240258096096
空气炸鸽,男,2024-03-27 13:52:00 北京时间,0,[脱单doge],贵州,0,4,3546630634604823,214258583904
扳机灶BandgeQeo,女,2024-02-05 18:38:34 北京时间,0,@凉栀____ 刀我别用师徒刀[大哭],江苏,1,5,345930763,206626590224
沫沫7,女,2024-01-26 13:16:37 北京时间,0,马上要复刻了，回来看看。必补满,浙江,0,5,371727850,204969787424
观南望北,保密,2024-01-13 15:33:09 北京时间,0,@机器工具人 背景音乐是什么,山东,3,5,1724074812,203042902736
来份hanbaga,保密,2023-12-29 16:34:32 北京时间,0,@千方_ [打call],广西,0,5,1663006670,200815726240
一周无效恋爱,男,2023-12-26 15:22:41 北京时间,0,别让颜卿当剑首[辣眼睛]太孩了见谁都想较量较量,浙江,0,6,1983404140,200377704752
百味空蝉,保密,2023-11-22 11:06:17 北京时间,0,好喜欢暗猫大大的作品，太惊艳了[给心心],广西,0,5,589155797,195486562368
GUOBAA大王,保密,2023-11-20 15:21:14 北京时间,0,我是景元的狗。,山西,0,5,671436480,195243845888
宝藏男孩欠吻,男,2023-11-14 23:46:26 北京时间,0,画的真的很好，关注三连了[脱单doge],湖北,0,5,3537123894365036,194450163472
F-021,保密,2023-10-18 14:05:37 北京时间,0,@気泡氵,云南,0,4,1245057506,190626597008
98队长,保密,2023-10-12 15:52:16 北京时间,0,估计后面有刀  我觉得镜流快要见她那个白月光了[大哭],广东,0,6,496063247,189826083376
iLRils,男,2023-09-29 06:14:59 北京时间,0,@MOE_晓 呜呜,江苏,0,6,11586916,187951324720
陰謀妄想家,保密,2023-09-28 19:31:44 北京时间,0,以前不知道有這麼牛逼的手書…bgm很好聽,中国台湾,0,6,253020582,187899851648
镜子兔XUAN,保密,2023-09-28 14:08:50 北京时间,0,刚玩星铁，剧情不太清楚。请问景元是不是喜爱镜流？就像杨过喜欢姑姑小龙女？,广东,6,5,151035942,187869203504
镜子兔XUAN,保密,2023-09-28 14:05:58 北京时间,0,好看,广东,0,5,151035942,187868703312
天上月u,保密,2023-09-24 08:23:55 北京时间,0,@原因小娇妻 好nb啊[保卫萝卜_哭哭],四川,0,2,1496160683,187277299744
每天都要吃很多肉,女,2023-08-28 04:52:43 北京时间,0,绝美！！！！,重庆,0,5,7847480,183380830656
朝浪之海,保密,2023-08-26 09:38:08 北京时间,0,@娶眉鬓 虽然说很帅，不过还想吐槽一句这红这红秋裤怕不是祖传的，小时候就在穿,黑龙江,3,5,580701437,183077550560
依赖绒毛猫猫重症星神,保密,2023-08-14 12:27:03 北京时间,0,@我药呢_ 这个高质量二创，看了超感动[tv_大哭]，不知道你有没有看过,中国台湾,1,5,3494365557164559,180895004208
大佬别这样啊,保密,2023-08-12 03:27:44 北京时间,0,@氿氿ayumiko 真好看哇。景园猫猫[脱单doge][脱单doge],广东,0,6,423849343,180437366992
雪江卖鱼鱼鱼全是鱼,女,2023-08-09 17:41:31 北京时间,0,眼泪止不住啊啊啊啊啊啊啊,江西,0,5,353421957,180007987088
雪江卖鱼鱼鱼全是鱼,女,2023-08-09 17:39:37 北京时间,0,景元什么时候复刻啊,江西,0,5,353421957,180007780944
雪江卖鱼鱼鱼全是鱼,女,2023-08-09 17:39:21 北京时间,0,太神了,江西,0,5,353421957,180007773984
不罪念者的谎言,保密,2023-08-09 02:43:20 北京时间,0,神,福建,0,5,325970651,179848044448
hc-若离,保密,2023-07-25 04:30:43 北京时间,0,bgm是什么呀,陕西,1,5,445539630,176930601216
rewrite看到了日出,保密,2023-07-23 19:12:03 北京时间,0,白毛老婆[脱单doge],海南,0,5,1848490072,176694816384
CaptainBlack,保密,2023-07-21 04:00:05 北京时间,0,看哭了[大哭],广东,0,5,30858769,176183013600
我是小污女,保密,2023-07-20 12:15:14 北京时间,0,好强！！！！！！！！！！,云南,0,6,34017936,176082970544
头大小川,保密,2023-07-13 14:02:24 北京时间,0,景元太帅了,山西,0,2,1474522238,174811192016
是土豆本薯啦,保密,2023-07-13 13:46:08 北京时间,0,会出壁纸吗好喜欢啊,甘肃,0,4,352479237,174808092384
无语致语死,女,2023-07-12 07:30:15 北京时间,0,呜呜呜景元 那么阳光那么温暖也好悲伤,湖北,0,6,2483628,174560634144
止戈QF,男,2023-07-11 15:12:29 北京时间,0,@树下剑鸽,河北,0,5,700339081,174459866448
想跟你羞羞,男,2023-07-09 10:44:21 北京时间,0,啊？？？这也太…..强了吧..,江苏,0,5,397380859,174053314896
关山不点酒,保密,2023-07-08 11:26:06 北京时间,0,镜流入魔是因为饮月护法出问题了好像,四川,1,4,291232765,173882670000
WaiYO,保密,2023-07-05 16:00:27 北京时间,0,@熊猫宰,广东,0,6,517714270,173412104288
salamo_,女,2023-07-04 15:14:26 北京时间,0,卧槽太太好强，刀死我了😭,河南,0,6,32712994,173234633168
诗随风飘荡,保密,2023-07-03 11:58:08 北京时间,0,官方：谁教你这么二创的？,湖北,0,5,488836599,173033603744
无悔爱佐鸣,保密,2023-06-27 18:59:10 北京时间,0,好厉害啊好厉害啊，这个二创的质量真的好高啊[支持][支持][支持],陕西,0,6,7119627,172093953120
西行寺凹凹子,保密,2023-06-26 14:51:19 北京时间,0,这1.1我是一分钟都呆不下去啦,澳大利亚,0,6,27645,171908987632
666重中之重,保密,2023-06-18 16:43:02 北京时间,0,你们说为什么不把手书名改为《流华》呢？正好和《飞光》对应。[脱单doge],新疆,0,5,517377665,170652713072
水逸益典,男,2023-06-17 03:15:44 北京时间,0,他是将军吗,江西,0,6,394921539,170381322656
柯柠西,保密,2023-06-15 15:44:40 北京时间,0,@舒昂_1126,山东,0,6,448692986,170188968208
吃布丁的熊猫,男,2023-06-13 00:06:53 北京时间,0,还是官方的好一些,广西,2,6,18505269,169765898752
麋鹿Sun,保密,2023-06-11 08:45:18 北京时间,0,[保卫萝卜_哭哭][保卫萝卜_哭哭],未知,0,5,20109522,169516039024
云凪浪行,男,2023-06-11 00:28:11 北京时间,0,这个搜索,北京,0,5,1336382097,169448856544
魏文帝曹丕本人,男,2023-06-10 16:53:16 北京时间,0,抽不出景元[明前奶绿_放弃][明前奶绿_放弃][明前奶绿_放弃],广东,0,6,258501220,169426184928
拒绝清芯寡玉,保密,2023-06-10 10:16:44 北京时间,0,谁能体会我让未成年系统卡了一个月的感觉[微笑],山东,0,4,1381049158,169363941424
梦想有只猫有个家,保密,2023-06-09 12:29:55 北京时间,0,我一生积德行善就是为了看到这个！！我还想着什么时候关注的老师，一看就是迦勒底新春会手书的老师！和老师同坑太幸福了吧！,福建,0,6,155976365,169220005952
千云Ayaka,保密,2023-06-09 09:21:09 北京时间,0,我去！！！我刷到什么好东西了！！！,河南,0,6,3930737,169189904800
jikl233,女,2023-06-09 05:15:55 北京时间,0,太刀了[大哭][大哭],广东,0,5,352960643,169158280480
崩崩崩85,保密,2023-06-09 01:37:16 北京时间,0,不够刀希望作者再接再厉，做的更刀一些[吃瓜],内蒙古,0,5,1885070170,169127515520
账号已注销,保密,2023-06-08 13:18:36 北京时间,0,二创和光锥把我美哭，可是局内建模是咋回事！！！老米！咋回事！！！！[生气][生气][生气],广东,0,0,3493261526174314,169065508208
隨性沒風格,男,2023-06-08 09:08:39 北京时间,0,景元快点狠狠的鞭策我[喜欢]🥵🥵,山东,0,5,492375875,169026148400
玫瑰终章,男,2023-06-08 08:15:09 北京时间,0,看有人分析过，镜流师傅好像是非正常堕入魔阴身的吧[妙啊],湖南,0,2,2125394665,169019844160
倾雪吖-_-,女,2023-06-07 11:17:51 北京时间,0,神作 神作,未知,0,5,477574358,168886512592
缤纷肥皂,保密,2023-06-07 02:42:46 北京时间,0,神仙二创,河南,0,4,1451967870,168815772048
鹤占お,保密,2023-06-06 14:53:41 北京时间,0,哈哈哈哈哈最后十六分钟景元歪了白露哈哈哈哈哈哈哈哈,山东,0,4,1850785454,168765189824
hsbsknddnk,保密,2023-06-06 14:27:11 北京时间,0,@GoneTEA 啊,湖北,0,4,1814387601,168760820240
兔序,保密,2023-06-06 13:28:54 北京时间,0,感觉没有以往原神手书水准，因为景元目前的故事太少了，延展也只有一些，熟悉的配方熟悉的味道，但是因为内容不足，导致略显逊色，不过依旧是以往的高水准,广东,0,5,1471721086,168750831536
viskic,保密,2023-06-05 10:38:01 北京时间,0,绝了,广东,0,5,411889564,168568954112
重岳语音回调了吗,保密,2023-06-03 14:10:27 北京时间,0,6,四川,0,4,1879304768,168296549600
命运有时可真够黑暗,保密,2023-06-03 03:28:09 北京时间,0,厉害,贵州,0,5,474817291,168206813712
枫华岩月一流光忆庭,保密,2023-06-03 01:53:26 北京时间,0,[委屈][委屈][委屈]作者是只会做刀子吗？,湖北,0,4,3493112131357047,168194906000
我是拂衣,男,2023-05-31 16:53:24 北京时间,0,真的少年时的师父，太让人难忘了，我到现在都会偶尔想起10年刚玩剑三的时候拜的和尚师父跟秀秀师父，他们是情缘，后来秀秀师父结婚了，对象不是和尚师父，之后更是双双A了游戏，我当时难过了好久！！[大哭][大哭][大哭],四川,0,6,7388914,167872548064
喝点茶润润喉,保密,2023-05-31 05:03:54 北京时间,0,手书好多都可以当壁纸[给心心],河南,0,6,399920407,167774803472
-098321-,保密,2023-05-31 04:18:59 北京时间,0,角色语音在哪里听啊,上海,0,5,402310171,167767789728
吉尔伽美什-幼闪,保密,2023-05-31 01:52:05 北京时间,0,差不多19%的点赞比，这就是高质量视频吗？这就是暗猫大佬的力量吗？,江苏,0,6,13655658,167750597840
杨砚之,保密,2023-05-31 00:53:36 北京时间,0,镜流和景元的始，景元和彦卿的续，真的很有眉间雪的既视感，代入一下就会发现，更踏马虐了啊[保卫萝卜_哭哭],山东,0,6,32154348,167745212448
刷管人专用号,保密,2023-05-30 17:40:19 北京时间,0,希望师徒三人能重逢[大哭]最后的彦卿小宝贝太可爱啦[给心心],未知,0,5,2042448271,167727352224
网友海宝宝棉,男,2023-05-30 12:06:27 北京时间,0,神!,江苏,0,5,425572220,167678070784
偃偶,保密,2023-05-30 07:55:37 北京时间,0,相信各位都给镜流攒好嫁妆了，人物池大保底垫了20无所畏惧[doge][脱单doge][崩坏3·终焉归始_咀嚼][崩坏3·终焉归始_咀嚼],新疆,0,5,1347090044,167643825120
喝口温迪洗澡水怎么了,女,2023-05-30 05:40:30 北京时间,0,这居然没破百万播放……赶紧推啊，这么牛逼的作品！仙品！,四川,0,6,315043731,167629513744
正常人都摆烂了,女,2023-05-29 13:36:52 北京时间,0,虽然全篇一个字幕都没有，但是不知不觉就泪崩了[大哭],上海,0,2,157312683,167543683872
临窗听雨鸣,保密,2023-05-29 10:40:38 北京时间,0,"原来是同人pv啊👍👍上一次给我真么震撼的还是隔壁原神魈的同人pv。你们这帮神仙[热词表情_世萌双冠][热词表情_世萌双冠][热词表情_世萌双冠],我草！原来是尘光的那位神仙啊[惊讶][惊讶]",江苏,0,5,237653009,167516334576
达达利亚的永远的老婆,保密,2023-05-28 15:09:13 北京时间,0,狠狠代入眉间雪了,山东,0,6,366538405,167411194176
风愿万叶,保密,2023-05-27 14:22:35 北京时间,0,[打call],浙江,0,4,1285816680,167238805872
信白_kr,男,2023-05-27 14:19:06 北京时间,0,@团子并不白,广西,0,5,1588045638,167238205728
塞上江南-,保密,2023-05-27 13:22:07 北京时间,0,我觉得up可以换个封面，这一帧有点不太像景元,江西,0,5,1827645452,167228582016
鲷鱼烧麦香鸡,保密,2023-05-27 11:55:17 北京时间,0,我6+5,埃及,0,6,421384,167214701680
嫑精神内耗,保密,2023-05-27 11:25:26 北京时间,0,这不会是flag吧，景元后面不会被刀了吧,青海,0,6,151460684,167210067680
撬开心门儿比心,保密,2023-05-27 08:42:03 北京时间,0,给官方亿点小小的危机感。,黑龙江,0,5,479772821,167185605008
朋友来世界贸易吧,保密,2023-05-27 05:45:00 北京时间,0,@bili_22715633817,四川,0,4,3493112550787512,167162333008
薄苇如丝,女,2023-05-27 02:12:01 北京时间,0,音乐真的好棒[保卫萝卜_哭哭][保卫萝卜_哭哭],安徽,0,5,1358700652,167131631552
clOuOd_,女,2023-05-27 01:33:08 北京时间,0,@Ml_NGC2237 额啊啊啊啊啊,重庆,0,5,511528536,167127298192
DonoTbeafraidX,保密,2023-05-26 16:48:01 北京时间,0,[兔年][兔年][兔年],辽宁,0,6,32967592,167099571248
黟辰,保密,2023-05-26 15:39:25 北京时间,0,就算平时常常微笑仿佛对任何东西都漠不关心，还是可以看出将军他一定是个经历过大事的人,广东,0,6,417394354,167090144368
姜凡木,女,2023-05-26 15:16:12 北京时间,0,有没有大善人讲解一下剧情？,上海,1,6,279279116,167086390400
汤圆爱发羊癫疯,女,2023-05-26 12:16:55 北京时间,0,666,重庆,0,4,3461565550430737,167057481872
一着大小姐,女,2023-05-25 15:17:34 北京时间,0,连起七八次鸡皮疙瘩谁懂啊，四分钟没有一句台词，把景元刻画得出神入化，我为什么没有再早几年进来B站啊！,浙江,0,5,1884745487,166936120800
锅得刚,保密,2023-05-25 14:20:23 北京时间,0,今天说景元池子十周年，回想景元大将军给我们带来点点滴滴，感谢[脱单doge],广西,0,5,25132891,166926755680
桐生E总,男,2023-05-25 04:19:17 北京时间,0,催更fate[脱单doge],江苏,0,6,409889361,166846126176
Jamon_n,女,2023-05-25 04:14:05 北京时间,0,@米蛤亿 还是国家宝藏的曲子[大哭],广东,1,6,178993553,166845385120
九子喵喵,保密,2023-05-25 02:47:37 北京时间,0,若不能打破命运，不过又是一场轮回罢了[大哭][大哭],湖南,0,5,23639194,166834604368
舟中月,保密,2023-05-24 16:02:47 北京时间,0,@是兔白白呀,山东,0,5,72552725,166795909440
齊司礼的笨鸟6826,保密,2023-05-24 13:47:06 北京时间,0,景元大宝贝,广东,0,5,381353473,166774262512
山上的村,保密,2023-05-24 12:39:21 北京时间,0,要是镜流师傅堕魔和饮月有关的话，我是说如果是因为饮月的“疯狂”使得镜流堕魔的话，我真的会被刀死的，球球myh，别/(ㄒoㄒ)/~~,黑龙江,0,6,318570122,166763889520
鹿-籽,保密,2023-05-24 09:25:54 北京时间,0,图来[doge],安徽,0,4,3493135495727629,166735338496
-Eudemon-,女,2023-05-24 04:25:51 北京时间,0,太太——,广东,0,5,504471473,166699920272
开__摆__,保密,2023-05-24 02:58:22 北京时间,0,暗猫很喜欢国家宝藏的bgm啊，精品精品[支持],北京,0,5,3493088097994889,166688376544
--夜雨星辰--,男,2023-05-24 02:26:44 北京时间,0,封面原图能不能分享一下呀[给心心][给心心][给心心],河南,0,6,15463513,166684999072
夏明雪幽,女,2023-05-24 01:53:48 北京时间,0,@浅墨心,北京,1,5,100818615,166681614640
辣炒鱿鱼須,男,2023-05-24 00:00:19 北京时间,0,省流4:9,湖南,0,5,349726709,166672011376
陈锦洛爱隐隐约约,女,2023-05-23 17:51:32 北京时间,0,666,广东,0,6,278004457,166658968864
我永远喜欢绫濑,保密,2023-05-23 17:37:13 北京时间,0,突然想起了荒古圣体晚年不详的设定,河南,0,6,145290376,166657830304
DonoTbeafraidX,保密,2023-05-23 16:14:03 北京时间,0,真的好棒，我反复看[保卫萝卜_哭哭],辽宁,0,6,32967592,166649421968
龙城飞将飞,男,2023-05-23 15:15:49 北京时间,0,隔壁千岩军就缺一个这样的将领角色[辣眼睛],江西,0,5,507446528,166640338640
次子可爱,保密,2023-05-23 12:35:44 北京时间,0,景元我老公！,四川,0,6,12288360,166613928400
一辉一溃,保密,2023-05-23 10:49:41 北京时间,0,永远在给官方施加压力,云南,0,6,497941016,166597769840
账号已注销,保密,2023-05-23 10:23:07 北京时间,0,这手书真的是！  泰裤辣！！！三连！[打call][打call][打call][doge],北京,0,0,1894528916,166593712240
东山晴后雪_,保密,2023-05-23 09:17:19 北京时间,0,"江天晓 景明。我记得了。,乱碧萋萋，雨后江天晓。,至若春和景明，波澜不兴。",湖北,0,5,381896428,166584372160
天文馆的橘猫,保密,2023-05-23 07:17:26 北京时间,0,不愧是暗喵好看[脱单doge],四川,0,6,367209310,166571189840
Pilokio,女,2023-05-23 04:36:14 北京时间,0,qq 群:623670495。新建的，欢迎各位大佬来玩呀。[给心心],四川,0,6,44939113,166552339168
长夜无光,男,2023-05-23 04:04:54 北京时间,0,[星星眼][星星眼][星星眼],江苏,0,6,22766285,166547503888
鹿现,保密,2023-05-23 04:01:17 北京时间,0,啊啊啊啊啊啊啊啊啊啊啊啊啊啊,未知,0,5,73324934,166547121248
nuoik,保密,2023-05-23 00:19:35 北京时间,0,这是被盗了吗[藏狐]剪了剪换了bgm就发了,山东,0,5,306108457,166525436448
凤箫声动丶,女,2023-05-22 23:03:13 北京时间,0,暗猫！,未知,0,6,7959602,166521227312
DonoTbeafraidX,保密,2023-05-22 17:45:53 北京时间,0,太棒了，我反复看[保卫萝卜_哭哭],辽宁,0,6,32967592,166511722576
丶绘千,男,2023-05-22 17:34:58 北京时间,0,太厉害了,广东,0,6,16084270,166510984784
波奇酱酱酱酱,男,2023-05-22 16:33:28 北京时间,0,不愧是暗喵 质量真高啊[兔年] 镜流很有桔梗的感觉，强大，美丽，坚强，并且和狗子的若即若离的感觉某种意义和镜流与景元的若即若离也有点像。老婆真可爱,北京,0,6,8053384,166505398512
Zs_恐惧111179,保密,2023-05-22 16:31:09 北京时间,0,景元你根本不在池子里！,广东,0,5,550521828,166505116128
DonoTbeafraidX,保密,2023-05-22 16:05:10 北京时间,0,bgm真的好配[保卫萝卜_哭哭],辽宁,0,6,32967592,166501832784
五柯森,男,2023-05-22 15:58:46 北京时间,0,惨淡的播放量啊,广东,0,6,10925208,166500910592
里脊最香,保密,2023-05-22 15:51:33 北京时间,0,猫师傅特有的刀法,贵州,0,6,14881695,166499860848
一挽wan,女,2023-05-22 15:45:28 北京时间,0,我来了，没看留先评论一波！！！,湖南,0,5,1175185145,166498852352
三门耐活王,保密,2023-05-22 15:44:56 北京时间,0,@柯柯冲冲冲,浙江,0,6,37599166,166498825920
_岚风_,男,2023-05-22 14:43:18 北京时间,0,好好好好好好好好好,江西,0,6,21184240,166488964784
田心-_-,女,2023-05-22 14:39:48 北京时间,0,哇好绝,江西,0,5,44969296,166488157696
-Lighthouse-,保密,2023-05-22 14:27:16 北京时间,0,[思考]这播放数量不对劲吧？,湖北,0,6,76845280,166486257136
哔哩小霸汪,保密,2023-05-22 14:11:40 北京时间,0,唉，两个十连出了,安徽,0,4,1068903442,166483641728
